iter	Passed	Remaining
0	204	204209
1	333	166483
2	462	153666
3	595	148243
4	733	146024
5	877	145359
6	1027	145695
7	1160	143949
8	1294	142548
9	1419	140545
10	1545	138929
11	1679	138290
12	1810	137460
13	1918	135101
14	2039	133945
15	2182	134196
16	2333	134956
17	2475	135061
18	2642	136442
19	2770	135758
20	2906	135509
21	3046	135440
22	3179	135062
23	3339	135804
24	3468	135280
25	3606	135115
26	3738	134719
27	3882	134762
28	3999	133919
29	4148	134144
30	4292	134174
31	4393	132912
32	4495	131739
33	4647	132057
34	4784	131905
35	4879	130656
36	5001	130166
37	5123	129698
38	5217	128566
39	5341	128187
40	5466	127866
41	5588	127469
42	5729	127506
43	5846	127029
44	5966	126619
45	6093	126371
46	6218	126084
47	6354	126035
48	6502	126201
49	6621	125812
50	6743	125479
51	6864	125137
52	6974	124612
53	7086	124142
54	7204	123781
55	7330	123568
56	7446	123187
57	7568	122926
58	7673	122391
59	7805	122289
60	7945	122303
61	8063	121992
62	8173	121561
63	8285	121180
64	8419	121115
65	8561	121163
66	8668	120716
67	8789	120466
68	8919	120355
69	9043	120154
70	9164	119917
71	9270	119486
72	9375	119060
73	9498	118865
74	9613	118563
75	9726	118257
76	9856	118152
77	9969	117847
78	10091	117645
79	10213	117455
80	10324	117141
81	10440	116880
82	10560	116679
83	10674	116403
84	10794	116199
85	10901	115856
86	11014	115585
87	11134	115389
88	11244	115097
89	11352	114790
90	11453	114408
91	11573	114221
92	11679	113910
93	11798	113717
94	11939	113743
95	12053	113505
96	12171	113311
97	12297	113184
98	12423	113070
99	12546	112921
100	12651	112612
101	12771	112443
102	12895	112300
103	13019	112171
104	13129	111915
105	13208	111400
106	13311	111091
107	13440	111010
108	13559	110841
109	13667	110583
110	13784	110396
111	13914	110323
112	14066	110418
113	14163	110073
114	14308	110116
115	14434	110002
116	14537	109718
117	14651	109511
118	14766	109319
119	14888	109180
120	15000	108973
121	15098	108661
122	15229	108590
123	15348	108430
124	15476	108335
125	15587	108122
126	15710	107997
127	15820	107779
128	15945	107665
129	16063	107500
130	16195	107434
131	16303	107209
132	16422	107055
133	16549	106954
134	16704	107035
135	16825	106893
136	16946	106747
137	17054	106528
138	17172	106373
139	17276	106129
140	17379	105881
141	17501	105747
142	17609	105532
143	17736	105436
144	17857	105298
145	17982	105185
146	18104	105058
147	18224	104911
148	18335	104723
149	18467	104648
150	18608	104625
151	18718	104430
152	18834	104265
153	18962	104171
154	19076	103999
155	19202	103890
156	19305	103660
157	19438	103589
158	19558	103451
159	19685	103349
160	19787	103117
161	19876	102818
162	19998	102693
163	20118	102554
164	20252	102489
165	20355	102267
166	20473	102124
167	20597	102007
168	20711	101840
169	20840	101751
170	20960	101614
171	21105	101602
172	21220	101440
173	21329	101253
174	21439	101073
175	21551	100898
176	21670	100760
177	21813	100734
178	21933	100599
179	22059	100493
180	22165	100293
181	22272	100104
182	22375	99896
183	22489	99734
184	22610	99610
185	22745	99543
186	22862	99395
187	22976	99236
188	23099	99121
189	23213	98962
190	23317	98762
191	23425	98584
192	23548	98464
193	23687	98414
194	23773	98141
195	23975	98348
196	24124	98336
197	24231	98149
198	24346	97996
199	24460	97843
200	24571	97675
201	24695	97558
202	24824	97465
203	24937	97305
204	25058	97178
205	25177	97044
206	25279	96844
207	25406	96740
208	25522	96594
209	25632	96426
210	25756	96311
211	25868	96151
212	25985	96010
213	26086	95812
214	26199	95659
215	26319	95529
216	26424	95348
217	26534	95182
218	26658	95068
219	26789	94979
220	26913	94867
221	27044	94776
222	27163	94647
223	27273	94482
224	27402	94385
225	27515	94234
226	27628	94083
227	27744	93940
228	27864	93814
229	27981	93675
230	28110	93578
231	28244	93499
232	28357	93349
233	28464	93179
234	28569	93003
235	28694	92893
236	28847	92873
237	28964	92733
238	29078	92587
239	29193	92444
240	29302	92285
241	29416	92138
242	29529	91989
243	29638	91830
244	29760	91712
245	29895	91630
246	30013	91498
247	30111	91305
248	30240	91207
249	30380	91140
250	30489	90981
251	30592	90805
252	30742	90769
253	30862	90643
254	30985	90527
255	31096	90375
256	31206	90219
257	31343	90144
258	31452	89986
259	31562	89832
260	31688	89724
261	31815	89618
262	31922	89456
263	32033	89305
264	32151	89176
265	32268	89041
266	32374	88877
267	32498	88764
268	32619	88643
269	32746	88535
270	32863	88404
271	32989	88295
272	33111	88175
273	33237	88068
274	33341	87900
275	33472	87805
276	33582	87652
277	33724	87585
278	33857	87496
279	33980	87379
280	34084	87213
281	34208	87098
282	34338	86999
283	34449	86850
284	34563	86712
285	34683	86588
286	34782	86410
287	34894	86267
288	34994	86094
289	35095	85924
290	35233	85843
291	35350	85712
292	35476	85603
293	35594	85476
294	35742	85419
295	35849	85263
296	35957	85111
297	36088	85012
298	36199	84868
299	36313	84731
300	36431	84603
301	36546	84468
302	36662	84335
303	36801	84255
304	36931	84155
305	37035	83994
306	37138	83833
307	37245	83681
308	37346	83516
309	37482	83428
310	37612	83327
311	37740	83223
312	37879	83141
313	37995	83008
314	38102	82858
315	38225	82741
316	38346	82621
317	38479	82525
318	38585	82371
319	38718	82277
320	38840	82157
321	38986	82089
322	39101	81955
323	39213	81816
324	39323	81671
325	39450	81562
326	39584	81469
327	39705	81347
328	39817	81209
329	39933	81076
330	40055	80957
331	40175	80834
332	40298	80718
333	40427	80611
334	40534	80463
335	40665	80363
336	40787	80243
337	40911	80128
338	41032	80006
339	41145	79870
340	41254	79727
341	41358	79572
342	41467	79429
343	41557	79248
344	41667	79108
345	41788	78987
346	41922	78892
347	42039	78763
348	42159	78641
349	42256	78475
350	42363	78330
351	42470	78184
352	42582	78048
353	42716	77951
354	42826	77810
355	42928	77657
356	43024	77492
357	43137	77358
358	43251	77225
359	43367	77098
360	43475	76954
361	43594	76832
362	43717	76715
363	43822	76568
364	43941	76445
365	44065	76331
366	44202	76240
367	44336	76142
368	44481	76064
369	44612	75962
370	44735	75846
371	44851	75717
372	44982	75614
373	45091	75473
374	45195	75326
375	45311	75198
376	45421	75059
377	45539	74935
378	45647	74794
379	45764	74668
380	45872	74528
381	46012	74438
382	46111	742833383	46220	741443384	46332	740103385	46471	73921
386	46609	73828
387	46743	73728
388	46856	73596
389	46984	73489
390	47098	73357
391	47214	73230
392	47330	73102
393	47441	729683394	47561	72848
395	47679	72723
396	47791	72589
397	47910	72468
398	48020	723314399	48146	72219
400	48263	72094
401	48383	71973
402	48516	71871
403	48622	71730
404	48740	71605
405	48850	71470
406	48964	71341
407	49076	712084408	49212	71111
409	49325	709804410	49452	70869
411	49555	707254412	49680	70611
413	49814	70510
414	49918	703674415	50058	70273
416	50175	701494417	50294	700264418	50464	69975
419	50596	69871
420	50746	69791
421	50861	69663
422	50986	69548
423	51103	69423
424	51223	69301
425	51342	69180
426	51461	69057
427	51592	68950
428	51719	68838
429	51828	68702
430	51948	68581
431	52068	68460
432	52185	68334
433	52313	68224
434	52421	68088
435	52543	67968
436	52675	67863
437	52770	67709
438	52886	67583
439	52994	67447
440	53119	67333
441	53251	67227
442	53391	67131
443	53522	67023
444	53642	66902
445	53774	66795
446	53890	66669
447	54008	66545
448	54116	66409
449	54229	66281
450	54349	66159
451	54454	66020
452	54583	65909
453	54687	65769
454	54809	65651
455	54922	65521
456	55033	65390
457	55141	65255
458	55253	65124
459	55366	64994
460	55481	64868
461	55602	64749
462	55713	64618
463	55863	64532
464	55966	64391
465	56077	64259
466	56190	64132
467	56319	64020
468	56438	63898
469	56559	63780
470	56690	63671
471	56813	63554
472	56935	63435
473	57061	63321
474	57166	63184
475	57272	63047
476	57382	62915
477	57512	62806
478	57632	62686
479	57743	62555
480	57858	62429
481	57979	62309
482	58113	62204
483	58235	62085
484	58361	61971
485	58487	61856
486	58592	61721
487	58719	61607
488	58832	61479
489	58939	61344
490	59084	61250
491	59214	61140
492	59341	61026
493	59457	60901
494	59587	60791
495	59705	60668
496	59836	60558
497	59951	60432
498	60076	60317
499	60190	60190
500	60300	60060
501	60440	59959
502	60559	59837
503	60676	59713
504	60799	59595
505	60926	59481
506	61052	59367
507	61185	59258
508	61319	59150
509	61444	59035
510	61575	58924
511	61697	58805
512	61799	58667
513	61912	58539
514	62035	58421
